github_url,exists,readme,readme_length,installation,CI,docs,fancy_docs,examples,requirements,setup
github.com/aarchiba/kuiper,True,False,False,False,False,False,False,False,False,False
github.com/aaronparsons/aipy,True,True,2371,True,True,True,False,False,True,False
github.com/aburrell/aacgmv2,True,True,5176,True,True,True,True,False,True,False
github.com/aburrell/apexpy,True,True,5880,True,True,True,True,True,True,False
github.com/aburrell/ocbpy,True,True,6462,True,True,True,True,False,True,False
github.com/acbecker/hotpants,True,True,8128,False,False,False,False,False,False,False
github.com/aceilers/spectroscopic,False,False,False,False,False,False,False,False,False,False
github.com/achael/eht-imaging,True,True,5741,True,False,True,True,True,True,False
github.com/aconley/mbb,False,False,False,False,False,False,False,False,False,False
github.com/actcollaboration/zcluster,True,True,3653,True,False,False,False,True,True,False
github.com/adamamiller/iptf16abc,True,True,453,False,False,True,False,False,False,False
github.com/adamginsburg/astroquery-paper,True,True,60,False,True,False,True,False,False,False
github.com/adamkovics/atmosphere,True,True,2205,False,False,False,False,True,True,False
github.com/adrn/biff,True,True,1780,True,True,True,True,True,True,False
github.com/adrn/ophiuchus,True,True,1323,True,True,True,False,False,True,False
github.com/adrn/sfd,True,True,834,True,True,True,False,False,True,False
github.com/adrn/thejoker,True,True,1839,True,True,True,True,True,True,False
github.com/adthomas-astro/nebulabayes,True,True,1936,False,False,False,False,True,True,False
github.com/adwasser/slomo,True,True,1964,False,False,True,True,False,True,False
github.com/aedattilo/models_k2,True,True,1320,False,False,False,False,True,False,False
github.com/aemerick/cloudy_tools,True,True,204,False,False,False,False,False,False,False
github.com/aemerick/galaxy-analysis,False,False,False,False,False,False,False,False,False,False
github.com/afd-illinois/grim,True,True,794,False,False,False,True,False,False,False
github.com/afrigeri/geologic-symbols,True,True,5428,False,False,True,False,False,False,False
github.com/agabrown/astrometry-inference-tutorials,True,True,2313,True,False,False,False,True,False,False
github.com/agabrown/pygaia,True,True,2851,True,False,False,False,True,True,False
github.com/ahorneﬀer/lump-lofar-und-mpifr-,False,False,False,False,False,False,False,False,False,False
github.com/ahwkuepper/mcluster,True,False,False,False,False,False,False,False,False,False
github.com/ajameson/spip,True,True,87,False,False,False,False,False,False,False
github.com/akleroy/cpropstoo,True,True,9782,False,False,False,False,True,False,False
github.com/akuznetsova/bhl,True,True,646,False,False,False,False,False,False,False
github.com/alexavillaume/agbgrid,True,True,544,False,False,False,False,False,False,False
github.com/alexji/moog17scat,True,True,3674,True,False,False,False,False,False,False
github.com/alexteachey/ttv_posteriors,True,True,1871,False,False,False,False,False,False,False
github.com/allisony/lyapy,True,True,387,False,False,False,False,False,False,False
github.com/alymantara/gaia_distance_calculator,True,True,86,False,False,False,False,False,False,False
github.com/amerand/candid,True,True,16018,True,False,True,False,True,True,False
github.com/andersdot/photoparallax,True,True,501,False,False,False,False,False,False,False
github.com/andosa/treeinterpreter,True,True,1432,True,False,False,False,True,True,False
github.com/andreimesinger/21cmfast,True,True,165,False,False,False,False,False,False,False
github.com/andrewannex/spiceypy,True,True,4989,True,True,True,True,False,True,False
github.com/andrewcumming/burstcool,True,True,2282,False,False,False,False,False,False,False
github.com/andrewcumming/crustcool,True,True,6022,True,False,False,False,False,False,False
github.com/andycasey/annieslasso,True,True,2838,True,True,True,False,False,True,False
github.com/andycasey/atmosphy,False,False,False,False,False,False,False,False,False,False
github.com/anguswright/lambdar,True,False,False,False,False,False,False,False,False,False
github.com/annayqho/thecannon\x0c,False,False,False,False,False,False,False,False,False,False
github.com/annayqho/thecannon\x0c20figure7,False,False,False,False,False,False,False,False,False,False
github.com/antyeates1983/pfss,True,True,210,False,False,False,False,False,False,False
github.com/antyeates1983/sft,False,False,False,False,False,False,False,False,False,False
github.com/aphearin/decorated-hod-paper,True,True,1101,False,False,False,True,False,False,False
github.com/apmechev/grid,False,False,False,False,False,False,False,False,False,False
github.com/apmechev/grid_,False,False,False,False,False,False,False,False,False,False
github.com/apmechev/grid_lrt,True,True,5364,True,True,True,True,True,True,False
github.com/argiopetech/base,True,True,3639,True,True,True,True,False,False,False
github.com/ariedel/lacewing,True,True,7710,False,False,False,False,False,False,False
github.com/ariedel/young_catalog,True,True,3850,False,False,False,False,False,False,False
github.com/arrayfire/arrayfire,True,True,6216,True,False,True,False,True,False,False
github.com/ascendingnode/pynbody,True,True,530,True,False,False,False,False,True,False
github.com/asgr/hyper,False,False,False,False,False,False,False,False,False,False
github.com/asgr/profound,True,True,4507,True,False,False,False,True,False,False
github.com/astrobel/chancealignments,True,True,6676,False,False,False,False,False,False,False
github.com/astrocatalogs/astrocats,True,True,2026,True,True,True,False,False,True,False
github.com/astrochasqui/q2,True,True,1691,False,False,False,False,True,False,False
github.com/astrochem/vis,False,False,False,False,False,False,False,False,False,False
github.com/astrochem/vis_sample,True,False,False,False,False,False,False,False,True,False
github.com/astroduff/commah,True,True,1412,True,True,True,False,True,True,False
github.com/astrofrog/sedfitter,True,True,789,False,True,True,True,True,True,False
github.com/astrofrog/sedﬁtter,False,False,False,False,False,False,False,False,False,False
github.com/astroml/astroml,True,True,5744,True,True,True,True,True,True,False
github.com/astroml/gatspy,True,True,2141,True,True,True,True,True,True,False
github.com/astronomerdamo/pydcf,True,True,6446,False,True,False,False,True,False,False
github.com/astropy/astropy,True,True,3784,True,True,True,True,True,True,False
github.com/astropy/astropy-apes,True,True,9385,False,False,False,False,False,False,False
github.com/astropy/astropy-tutorials,True,True,1722,False,True,False,True,True,False,False
github.com/astropy/astropy-v2,False,False,False,False,False,False,False,False,False,False
github.com/astropy/astroquery,True,True,11671,True,True,True,True,False,True,False
github.com/astropy/astroscrappy,True,True,2906,False,True,True,True,False,True,False
github.com/astropy/ci-helpers,True,True,13881,True,True,False,False,False,False,False
github.com/astropy/halotools,True,True,8366,True,True,True,True,True,True,False
github.com/astropy/package-template,True,True,2457,False,True,True,False,False,True,False
github.com/astropy/photutils,True,True,2018,True,True,True,True,False,True,False
github.com/astropy/pyregions,False,False,False,False,False,False,False,False,False,False
github.com/astropy/regions,True,True,395,False,True,True,True,False,True,False
github.com/astropy/saba,True,True,502,False,True,True,True,False,True,False
github.com/astropy/specutils,True,True,2078,False,True,True,True,False,True,False
github.com/astrostat/bascs,True,True,904,False,False,False,False,True,False,False
github.com/astrostat/lira,True,True,610,False,False,False,False,False,False,False
github.com/astrostat/lira\tvan\tdyk\tet\tal,False,False,False,False,False,False,False,False,False,False
github.com/astroua/dynclass,True,True,470,False,False,False,False,False,False,False
github.com/astrovpk/libcarma,True,True,10846,True,False,True,False,True,True,False
github.com/atchekho/harmpi,True,True,10456,False,False,False,False,True,False,False
github.com/atomdb/xscat,True,True,6982,True,False,True,False,False,False,False
github.com/awmann/m,False,False,False,False,False,False,False,False,False,False
github.com/awmann/m_-m_k-,True,True,3866,True,False,False,False,False,True,False
github.com/awmann/metal,True,True,617,False,False,False,False,False,False,False
github.com/awmann/teff_rad_mass_lum,True,True,1943,False,False,False,False,False,False,False
github.com/awmann/teﬀ,False,False,False,False,False,False,False,False,False,False
github.com/awmann/teﬀ_rad_mass_lum,False,False,False,False,False,False,False,False,False,False
