github_url,repo_name,mentions,n_unq_authors,n_unq_first_authors,arxiv_ids,citation_count,nasa_ack_mentions,unq_keywords
github.com/aarchiba/kuiper,kuiper,1,2,1,['arXiv:1610.06545'],18,0.0,['Statistics - Machine Learning']
github.com/aaronparsons/aipy,aipy,4,83,4,"['arXiv:1602.02635', 'arXiv:1304.4991', 'arXiv:1903.09064', 'arXiv:1606.07473']",350,1,"['Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'cosmology: observations' 'dark ages' 'early universe' 'first stars'
 'instrumentation: interferometers' 'intergalactic medium' 'polarization'
 'radio continuum: general' 'reionization' 'techniques: interferometric']"
github.com/aburrell/aacgmv2,aacgmv2,1,10,1,['arXiv:1901.00143'],0,1,"['Astrophysics - Instrumentation and Methods for Astrophysics'
 'Physics - Space Physics' 'Python' 'heliophysics' 'open source'
 'reproducible science' 'software' 'system science']"
github.com/aburrell/apexpy,apexpy,1,10,1,['arXiv:1901.00143'],0,1,"['Astrophysics - Instrumentation and Methods for Astrophysics'
 'Physics - Space Physics' 'Python' 'heliophysics' 'open source'
 'reproducible science' 'software' 'system science']"
github.com/aburrell/ocbpy,ocbpy,1,10,1,['arXiv:1901.00143'],0,1,"['Astrophysics - Instrumentation and Methods for Astrophysics'
 'Physics - Space Physics' 'Python' 'heliophysics' 'open source'
 'reproducible science' 'software' 'system science']"
github.com/acbecker/hotpants,hotpants,7,99,7,"['arXiv:1802.01692', 'arXiv:1809.02755', 'arXiv:1806.01461', 'arXiv:1712.04950', 'arXiv:1901.05508', 'arXiv:1603.03823']",22,5,"['1988Z' 'Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - High Energy Astrophysical Phenomena'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'Gravitational Waves'
 'Multi-messenger' 'Wide field astronomy' 'circumstellar matter'
 'cosmology: observations' 'galaxies: Seyfert' 'galaxies: active'
 'galaxies: nuclei' 'methods: data analysis'
 'planets and satellites: detection' 'stars: mass-loss'
 'supernovae: general' 'supernovae: individual: KISS15s'
 'supernovae: individual: SN2015bn' 'surveys'
 'techniques: image processing']"
github.com/achael/eht-imaging,eht-imaging,11,285,8,"['arXiv:1605.06156', 'arXiv:1610.05326', 'arXiv:1901.06226', 'arXiv:1803.07088', 'arXiv:1711.01286', 'arXiv:1708.01056', 'arXiv:1805.01242', 'arXiv:1711.01357', 'arXiv:1904.04934', 'arXiv:1904.00106']",126,3,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - High Energy Astrophysical Phenomena'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Computer Science - Computer Vision and Pattern Recognition'
 'Galaxy: center' 'ISM: structure' 'accretion' 'accretion disks'
 'black hole physics' 'galaxies: individual: M87'
 'galaxies: individual: Sgr Aa' 'galaxies: jets' 'methods: statistical'
 'radio continuum: ISM' 'scattering' 'techniques: high angular resolution'
 'techniques: image processing' 'techniques: interferometric']"
github.com/actcollaboration/zcluster,zcluster,1,44,1,['arXiv:1709.05600'],31,1,"['Astrophysics - Cosmology and Nongalactic Astrophysics'
 'cosmology: large-scale structure of universe' 'cosmology: observations'
 'galaxies: clusters: general']"
github.com/adamamiller/iptf16abc,iptf16abc,1,22,1,['arXiv:1708.07124'],19,1,"['Astrophysics - High Energy Astrophysical Phenomena'
 'Astrophysics - Solar and Stellar Astrophysics' 'methods: observational'
 'supernovae: general' 'supernovae: individual: iPTF 16abc; SN 2011fe'
 'surveys']"
github.com/adamginsburg/astroquery-paper,astroquery-paper,0,0,0,[],0.0,0.0,[]
github.com/adamkovics/atmosphere,atmosphere,2,38,2,"['arXiv:1509.08835', 'arXiv:1811.08468']",14,2,"['Adaptive optics' 'Astrophysics - Earth and Planetary Astrophysics'
 'Atmospheres' 'Titan' 'atmosphere' 'evolution' 'structure']"
github.com/adrn/biff,biff,2,5,2,['arXiv:1601.06790'],15,1,"['Astrophysics - Astrophysics of Galaxies' 'Galaxy: evolution'
 'Galaxy: halo' 'Galaxy: kinematics and dynamics' 'Galaxy: structure'
 'Milky Way' 'astronomy' 'astrophysics' 'dynamics'
 'globular clusters: general' 'kinematics'
 'stars: kinematics and dynamics']"
github.com/adrn/ophiuchus,ophiuchus,2,5,2,['arXiv:1601.06790'],15,1,"['Astrophysics - Astrophysics of Galaxies' 'Galaxy: evolution'
 'Galaxy: halo' 'Galaxy: kinematics and dynamics' 'Galaxy: structure'
 'Milky Way' 'astronomy' 'astrophysics' 'dynamics'
 'globular clusters: general' 'kinematics'
 'stars: kinematics and dynamics']"
